Marque_voiture,Modele,Kilometrage,Couleur,TypeBoite,Annee,Cylindre,Puissance,Carburant,Prix,Age
Renault,Capture,163000,Beige,Manuelle,2017,1.4,5,Essence,47650,7
Kia,Picanto,93000,Blanc,Manuelle,2019,1.2,4,Essence,35000,5
Nissan,Qashqai,148000,Gris,Manuelle,2015,1.2,6,Essence,58000,9
Volkswagen,Polo,320,Noir,Manuelle,1997,1.4,5,Essence,12000,27
Citroen,C-Elysée,180000,Blanc,Manuelle,2014,1.2,5,Essence,22000,10
Volkswagen,Jetta,190000,Blanc,Manuelle,2015,1.4,7,Essence,45000,9
Renault,Symbol,240,Beige,Manuelle,2010,1.5,5,Essence,25000,14
Volkswagen,Polo,78000,Blanc,Manuelle,2021,1.0,4,Essence,67000,3
Renault,Megane Cabriolet,144000,Orange,Manuelle,2012,1.4,7,Essence,1234,12
BMW,Serie 3,55000,Bleu,Automatique,2013,2.0,10,Essence,55000,11
Hyundai,I 20,3,Rouge,Manuelle,2022,1.2,5,Essence,62000,2
Mercedes-Benz,Classe C,220000,Gris,Manuelle,2010,1.6,9,Essence,45000,14
Peugeot,Partner,176000,Blanc,Manuelle,2018,1.6,5,Diesel,45000,6
Toyota,Hilux,500000,Noir,Manuelle,2003,2.8,11,Diesel,43000,21
Peugeot,207 SW,275000,Gris,Manuelle,2011,1.4,6,Essence,24500,13
Renault,Capture,0,Marron,Manuelle,2014,1.2,6,Essence,42000,10
Volkswagen,Passat,155000,Noir,Manuelle,2019,1.4,7,Essence,68500,5
Peugeot,308,74000,Noir,Manuelle,2020,1.2,6,Essence,49500,4
Mahindra,Hover,52000,Gris,Manuelle,2021,1.2,5,Essence,35500,3
Citroen,DS3,90000,Blanc,Manuelle,2016,1.2,5,Essence,39800,8
Renault,Clio,70000,Rouge,Manuelle,2020,1.2,5,Essence,42500,4
Renault,Clio,78000,Noir,Manuelle,2020,1.2,5,Essence,41500,4
Renault,Clio,80000,Blanc,Manuelle,2020,1.2,5,Essence,43500,4
Kia,Picanto,60000,Noir,Automatique,2018,1.2,5,Essence,43500,6
Skoda,Fabia,0,Gris,Manuelle,2023,1.0,4,Essence,63800,1
Volkswagen,Vento,290,Noir,Manuelle,1996,2.0,9,Essence,23000,28
Volkswagen,Polo,140000,Gris,Manuelle,2007,1.2,4,Essence,22000,17
Seat,Ibiza,200000,Gris,Manuelle,2010,1.2,5,Essence,23500,14
Renault,Capture,95,Gris,Manuelle,2019,1.0,5,Essence,1212,5
Peugeot,208,120,Blanc,Manuelle,2020,1.5,5,Diesel,1212,4
Toyota,Avensis Verso,137000,Gris,Manuelle,2014,1.4,6,Essence,29800,10
Toyota,Avensis,137000,Gris,Manuelle,2014,1.4,6,Essence,29800,10
Renault,Megane,1111,Noir,Manuelle,2000,1.6,6,Diesel,123000,24
Renault,Clio,77000,Rouge,Manuelle,2020,1.2,5,Essence,41000,4
Peugeot,207,167000,Blanc,Manuelle,2012,1.4,5,Essence,27000,12
Citroen,C15,170000,Blanc,Manuelle,2006,1.9,5,Diesel,10500,18
Peugeot,308 SW,80000,Blanc,Manuelle,2015,1.2,5,Essence,41000,9
Toyota,Hilux,20,Noir,Manuelle,2010,2.5,10,Diesel,600000,14
Citroen,C3,82000,Blanc,Manuelle,2019,1.6,4,Essence,42000,5
Seat,Leon,160000,Noir,Manuelle,2017,1.2,5,Essence,57000,7
Volkswagen,Golf 8,260000,Gris,Manuelle,2010,1.6,5,Diesel,35500,14
Peugeot,206,235000,Blanc,Manuelle,2012,1.2,5,Essence,23000,12
Renault,Clio,145000,Blanc,Manuelle,2020,1.0,5,Essence,44500,4
Toyota,Aygo,0,Rouge,Manuelle,2023,1.1,5,Essence,47000,1
Volkswagen,Golf,150000,Noir,Manuelle,2017,1.2,6,Essence,62500,7
Volkswagen,Golf,130000,Gris,Automatique,2020,1.0,6,Essence,68500,4
Peugeot,3008,140000,Noir,Automatique,2020,1.5,6,Diesel,75500,4
Renault,Clio,20000,Gris,Manuelle,2021,1.2,5,Essence,56500,3
Suzuki,Celerio,120,Noir,Manuelle,2017,1.2,5,Essence,42000,7
Isuzu,D-MAX,338027,Blanc,Manuelle,2007,2.5,10,Diesel,123000,17
Renault,Clio,404000,Gris,Manuelle,2006,1.2,5,Essence,23000,18
Renault,R19,400000,Bleu,Manuelle,1998,1.6,6,Diesel,6500,26
Peugeot,508,140000,Beige,Manuelle,2016,1.6,6,Essence,360000,8
Ford,Fiesta,265000,Noir,Manuelle,2008,1.2,5,Essence,16500,16
Seat,Ibiza,32000,Gris,Manuelle,2021,1.0,4,Essence,48500,3
Ford,Fiesta,141000,Bleu,Manuelle,2017,1.0,5,Essence,36499,7
Citroen,C-Elysee,2580000,Gris,Manuelle,2013,1.6,7,Essence,25500,11
Volkswagen,Golf 7,200,Gris,Manuelle,2015,1.2,5,Essence,47800,9
Mazda,6,150000,Noir,Automatique,2016,2.0,9,Essence,50000,8
Mahindra,Hover,44000,Gris,Manuelle,2020,1.2,5,Essence,32500,4
Fiat,Panda,144000,Gris,Manuelle,2019,1.2,4,Essence,30500,5
Citroen,C2,127000,Vert,Manuelle,2007,1.2,5,Essence,19800,17
Citroen,C3,138000,Blanc,Manuelle,2017,1.2,5,Essence,29900,7
Mazda,CX-5,250000,Blanc,Automatique,2014,2.0,9,Essence,50000,10
Renault,Clio,74000,Gris,Manuelle,2020,1.2,5,Essence,39700,4
Citroen,C5,480,Bleu,Manuelle,2008,1.6,6,Diesel,18000,16
Peugeot,208,172000,Blanc,Manuelle,2013,1.6,6,Diesel,1234,11
Hyundai,I 20,65,Rouge,Manuelle,2020,1.2,5,Essence,48700,4
Seat,Leon,127000,Noir,Manuelle,2013,1.1,6,Essence,42000,11
Dacia,Dokker,59000,Blanc,Manuelle,2018,1.6,6,Diesel,35000,6
Renault,Capture,148000,Beige,Automatique,2014,1.2,6,Essence,42000,10
Peugeot,508,160000,Noir,Automatique,2014,1.6,7,Essence,42000,10
Mitsubishi,L200,175000,Blanc,Manuelle,2014,2.5,10,Diesel,32000,10
BMW,Serie 1,257837,Gris,Manuelle,2005,1.2,7,Essence,27500,19
Peugeot,508,194100,Noir,Manuelle,2011,1.6,9,Essence,32000,13
Volkswagen,Golf,19000,Gris,Automatique,2021,1.0,5,Essence,115000,3
Mercedes-Benz,Classe ML,204000,Blanc,Automatique,2008,3.2,15,Diesel,75000,16
Mercedes-Benz,Classe GLC,116000,Noir,Automatique,2019,2.5,12,Diesel,240000,5
Fiat,Grande Punto,0,Rouge,Manuelle,1999,4.0,4,Essence,12500,25
Peugeot,107,167000,Rouge,Manuelle,2010,1.0,4,Essence,22800,14
Volkswagen,Polo,180000,Gris,Manuelle,2009,1.2,4,Essence,22800,15
Chery,QQ,62000,Bleu,Manuelle,2019,1.0,4,Essence,19000,5
Volkswagen,Tiguan,90000,Blanc,Manuelle,2017,1.5,7,Essence,33800,7
Volkswagen,Golf,100000,Gris,Manuelle,2014,1.5,5,Essence,55999,10
Hyundai,I 10,83008,Noir,Manuelle,2020,1.2,5,Essence,34800,4
Hyundai,I 20,91000,Blanc,Manuelle,2020,1.2,5,Essence,38500,4
Volkswagen,Polo,220,Violet,Manuelle,2007,1.0,4,Essence,21500,17
Renault,Clio,160000,Noir,Manuelle,2012,1.2,5,Essence,29800,12
Citroen,C3,24000,Blanc,Manuelle,2020,1.2,4,Essence,40000,4
Ssangyong,Rexton,190000,Gris,Manuelle,2001,2.2,8,Diesel,25000,23
Dacia,Sandero,12983,Camel,Manuelle,2021,1.0,5,Essence,57500,3
BMW,Serie 1,169000,Noir,Automatique,2013,1.6,7,Essence,52500,11
Peugeot,206+,400000,Noir,Manuelle,2000,1.1,4,Essence,12800,24
Volkswagen,Golf,232000,Gris,Manuelle,2005,1.9,6,Diesel,26000,19
Kia,Rio,89000,Rouge,Manuelle,2014,1.2,5,Essence,36500,10
Suzuki,Celerio,52500,Gris,Manuelle,2020,1.0,4,Essence,31600,4
Iveco,Daily,285500,Blanc,Manuelle,2008,4.0,10,Diesel,29000,16
Kia,Sorento,185000,Blanc,Automatique,2016,3.0,12,Diesel,89000,8
Volkswagen,New Beetle,212,Bleu,Manuelle,2000,1.6,8,Essence,17000,24
Renault,Clio,305,Bleu,Manuelle,2001,1.2,4,Essence,16500,23
Renault,Clio,210000,Noir,Manuelle,2008,1.2,5,Essence,20000,16
Fiat,Fiorino,62000,Blanc,Manuelle,2022,1.3,5,Diesel,34000,2
Seat,Ibiza,132000,Blanc,Manuelle,2017,1.0,4,Essence,38000,7
Fiat,Punto,180,Noir,Manuelle,2014,1.2,5,Essence,21500,10
Volkswagen,Jetta,2500000,Noir,Manuelle,2009,1.6,5,Essence,30000,15
Audi,A4,148000,Noir,Manuelle,2013,1.8,7,Essence,54500,11
Citroen,C-Elysée,88460,Gris,Manuelle,2019,1.2,5,Essence,26800,5
Fiat,Panda,22500,Blanc,Manuelle,2023,1.2,4,Essence,47000,1
Suzuki,Swift,62000,Gris,Manuelle,2020,1.2,5,Essence,36500,4
Fiat,Panda,250,Rouge,Manuelle,2005,1.2,4,Essence,19700,19
Peugeot,207,228000,Gris,Manuelle,2011,1.4,5,Essence,25000,13
Citroen,C3,250000,Rouge,Manuelle,2008,1.4,4,Essence,16800,16
Isuzu,D-MAX,132000,Gris,Manuelle,2013,2.5,8,Diesel,85000,11
Mercedes-Benz,Classe A,138000,Noir,Manuelle,2013,1.6,6,Essence,56000,11
Hyundai,I 20,180000,Blanc,Manuelle,2015,1.2,5,Essence,32000,9
Volkswagen,Polo,90000,Doré,Manuelle,2019,1.0,4,Essence,39000,5
Peugeot,301,234000,Gris,Manuelle,2015,1.5,5,Essence,20500,9
Citroen,C3,117000,Blanc,Manuelle,2015,1.2,5,Essence,27000,9
Fiat,Palio,173,Gris,Manuelle,2008,1.2,4,Essence,18000,16
Chery,A3,116000,Bleu,Manuelle,2019,1.4,6,Essence,32000,5
Citroen,C3,115000,Rouge,Manuelle,2020,1.2,5,Essence,44500,4
Volkswagen,Golf 8,107000,Bleu,Manuelle,2020,1.0,6,Essence,97000,4
Nissan,Patrol,4000000,Blanc,Manuelle,1993,2.0,11,Diesel,7500,31
Volkswagen,Golf,233000,Blanc,Manuelle,2015,1.6,5,Diesel,57000,9
Ford,Fiesta,125,Bleu,Manuelle,2019,1.1,4,Essence,42000,5
Volkswagen,Polo,0,Noir,Manuelle,2018,1.4,5,Essence,32000,6
Kia,Rio,187000,Marron,Manuelle,2013,1.2,5,Essence,34500,11
Citroen,C-Elysée,163,Noir,Manuelle,2015,1.2,5,Essence,20500,9
mini,One,320,Gris,Manuelle,2009,1.4,5,Essence,26500,15
Opel,Insignia,260000,Blanc,Manuelle,2014,1.4,6,Essence,35000,10
Renault,Clio,120000,Gris,Manuelle,2020,3.0,5,Essence,38000,4
Volkswagen,Golf 5,235000,Gris,Manuelle,2008,1.4,5,Essence,30000,16
Seat,Leon,153000,Gris,Manuelle,2015,1.2,6,Essence,43500,9
Porsche,Cayenne,226000,Noir,Automatique,2008,4.0,30,Essence,98000,16
Toyota,RAV 4,190000,Noir,Manuelle,2008,2.0,10,Essence,46000,16
Kia,Rio,96000,Noir,Manuelle,2020,1.2,5,Essence,48000,4
Citroen,Berlingo,218,Blanc,Manuelle,2012,1.6,5,Diesel,22500,12
Kia,Picanto,29000,Gris,Manuelle,2021,1.0,4,Essence,42000,3
Ford,Escort,32000,Camel,Manuelle,2022,1.0,7,Essence,65000,2
Mahindra,Hover,90000,Beige,Manuelle,2019,1.2,5,Essence,27500,5
Hyundai,I 10,4000,Rouge,Manuelle,2021,1.0,4,Essence,44500,3
Volkswagen,Amarok,220000,Blanc,Manuelle,2012,2.0,7,Diesel,45000,12
Peugeot,Partner,97855,Blanc,Manuelle,2005,1.9,7,Diesel,15700,19
Volkswagen,Polo,100,Noir,Manuelle,2021,1.0,4,Essence,43800,3
Hyundai,I 20,87000,Noir,Manuelle,2021,1.2,5,Essence,48997,3
BMW,Serie 1,250,Gris,Manuelle,2007,2.0,7,Diesel,31000,17
Peugeot,208,19000,Gris,Manuelle,2022,1.2,4,Essence,45000,2
Kia,Sportage,283000,Blanc,Manuelle,2013,3.0,7,Diesel,53000,11
Renault,Clio,137,Noir,Manuelle,2017,1.2,5,Essence,37000,7
Mahindra,Hover,51000,Blanc,Manuelle,2021,2.0,7,Diesel,35000,3
Peugeot,206,193000,Gris,Manuelle,2000,1.0,4,Essence,18500,24
Peugeot,Partner,140000,Blanc,Manuelle,2017,1.6,5,Diesel,38000,7
Fiat,Grande Punto,230,Gris,Manuelle,2009,1.2,5,Essence,20700,15
Opel,Astra,321,Gris,Manuelle,1998,1.7,5,Diesel,7700,26
Isuzu,D-MAX,200000,Noir,Manuelle,2015,2.5,10,Diesel,55000,9
Skoda,Octavia,120000,Bleu,Automatique,2015,1.4,6,Essence,41000,9
Peugeot,301,126800,Noir,Manuelle,2017,1.2,5,Essence,27400,7
Hyundai,I 10,51000,Gris,Manuelle,2021,1.0,4,Essence,41800,3
Ford,Focus,270,Bleu,Manuelle,2000,1.2,5,Essence,12500,24
Renault,Clio,62000,Rouge,Manuelle,2016,1.2,5,Essence,40500,8
Hyundai,I 10,90000,Gris,Manuelle,2021,1.2,5,Essence,39000,3
Renault,Megane,186000,Noir,Manuelle,2010,1.3,7,Essence,25900,14
Nissan,King Cab,50,Rouge,Manuelle,2018,1.4,7,Diesel,102000,6
Fiat,Tipo,76000,Bleu,Manuelle,2020,1.4,5,Essence,47500,4
Toyota,Yaris Verso,130,Gris,Manuelle,2018,1.2,5,Essence,39000,6
Mercedes-Benz,250,4440000,Gris,Manuelle,1990,1.4,8,Diesel,25500,34
BMW,Serie 5,74000,Noir,Automatique,2020,1.6,10,Essence,173000,4
Citroen,DS,84000,Noir,Automatique,2019,1.6,9,Essence,129000,5
BMW,Serie 3,28000,Gris,Automatique,2020,2.0,10,Essence,1234,4
Mercedes-Benz,Classe GLC,70200,Blanc,Automatique,2020,2.0,12,Essence,1234,4
Renault,Megane,194000,Bleu,Automatique,2017,1.5,5,Diesel,54000,7
Peugeot,3008,170,Noir,Automatique,2020,1.2,7,Essence,75000,4
Volkswagen,Polo,104000,Noir,Manuelle,2020,1.0,4,Essence,44500,4
Volkswagen,Passat CC,67000,Noir,Manuelle,2018,1.4,7,Essence,78000,6
Kia,Picanto,78000,Gris,Automatique,2019,1.2,5,Essence,43800,5
Toyota,FJ,52000,Gris,Automatique,2020,1.4,6,Essence,82500,4
Renault,Clio,62000,Rouge,Manuelle,2021,1.2,5,Essence,45800,3
Kia,Sorento,125000,Gris,Automatique,2015,2.2,12,Diesel,95000,9
Citroen,Nemo,152000,Gris,Manuelle,2016,1.4,5,Diesel,27000,8
Mazda,2,180000,Gris,Manuelle,2014,1.3,5,Essence,26500,10
Volkswagen,Polo,222000,Noir,Manuelle,2009,1.0,4,Essence,25000,15
Renault,Symbol,182000,Beige,Manuelle,2014,1.2,5,Essence,27500,10
Iveco,Daily,350000,Blanc,Manuelle,2006,2.3,8,Diesel,16000,18
