Marque_voiture,Modele,Kilometrage,Couleur,TypeBoite,Annee,Cylindre,Puissance,Carburant,Prix,Age
1,1,163000,1,0,2017,1.4,5,0,47650,7
2,2,93000,2,0,2019,1.2,4,0,35000,5
3,3,148000,3,0,2015,1.2,6,0,58000,9
4,4,320,4,0,1997,1.4,5,0,12000,27
5,5,180000,2,0,2014,1.2,5,0,22000,10
4,6,190000,2,0,2015,1.4,7,0,45000,9
1,7,240,1,0,2010,1.5,5,0,25000,14
4,4,78000,2,0,2021,1.0,4,0,67000,3
1,8,144000,5,0,2012,1.4,7,0,1234,12
6,9,55000,6,1,2013,2.0,10,0,55000,11
7,10,3,7,0,2022,1.2,5,0,62000,2
8,11,220000,3,0,2010,1.6,9,0,45000,14
9,12,176000,2,0,2018,1.6,5,1,45000,6
10,13,500000,4,0,2003,2.8,11,1,43000,21
9,14,275000,3,0,2011,1.4,6,0,24500,13
1,1,0,8,0,2014,1.2,6,0,42000,10
4,15,155000,4,0,2019,1.4,7,0,68500,5
9,16,74000,4,0,2020,1.2,6,0,49500,4
11,17,52000,3,0,2021,1.2,5,0,35500,3
5,18,90000,2,0,2016,1.2,5,0,39800,8
1,19,70000,7,0,2020,1.2,5,0,42500,4
1,19,78000,4,0,2020,1.2,5,0,41500,4
1,19,80000,2,0,2020,1.2,5,0,43500,4
2,2,60000,4,1,2018,1.2,5,0,43500,6
12,20,0,3,0,2023,1.0,4,0,63800,1
4,21,290,4,0,1996,2.0,9,0,23000,28
4,4,140000,3,0,2007,1.2,4,0,22000,17
13,22,200000,3,0,2010,1.2,5,0,23500,14
1,1,95,3,0,2019,1.0,5,0,1212,5
9,23,120,2,0,2020,1.5,5,1,1212,4
10,24,137000,3,0,2014,1.4,6,0,29800,10
10,25,137000,3,0,2014,1.4,6,0,29800,10
1,26,1111,4,0,2000,1.6,6,1,123000,24
1,19,77000,7,0,2020,1.2,5,0,41000,4
9,27,167000,2,0,2012,1.4,5,0,27000,12
5,28,170000,2,0,2006,1.9,5,1,10500,18
9,29,80000,2,0,2015,1.2,5,0,41000,9
10,13,20,4,0,2010,2.5,10,1,600000,14
5,30,82000,2,0,2019,1.6,4,0,42000,5
13,31,160000,4,0,2017,1.2,5,0,57000,7
4,32,260000,3,0,2010,1.6,5,1,35500,14
9,33,235000,2,0,2012,1.2,5,0,23000,12
1,19,145000,2,0,2020,1.0,5,0,44500,4
10,34,0,7,0,2023,1.1,5,0,47000,1
4,35,150000,4,0,2017,1.2,6,0,62500,7
4,35,130000,3,1,2020,1.0,6,0,68500,4
9,36,140000,4,1,2020,1.5,6,1,75500,4
1,19,20000,3,0,2021,1.2,5,0,56500,3
14,37,120,4,0,2017,1.2,5,0,42000,7
15,38,338027,2,0,2007,2.5,10,1,123000,17
1,19,404000,3,0,2006,1.2,5,0,23000,18
1,39,400000,6,0,1998,1.6,6,1,6500,26
9,40,140000,1,0,2016,1.6,6,0,360000,8
16,41,265000,4,0,2008,1.2,5,0,16500,16
13,22,32000,3,0,2021,1.0,4,0,48500,3
16,41,141000,6,0,2017,1.0,5,0,36499,7
5,42,2580000,3,0,2013,1.6,7,0,25500,11
4,43,200,3,0,2015,1.2,5,0,47800,9
17,44,150000,4,1,2016,2.0,9,0,50000,8
11,17,44000,3,0,2020,1.2,5,0,32500,4
18,45,144000,3,0,2019,1.2,4,0,30500,5
5,46,127000,9,0,2007,1.2,5,0,19800,17
5,30,138000,2,0,2017,1.2,5,0,29900,7
17,47,250000,2,1,2014,2.0,9,0,50000,10
1,19,74000,3,0,2020,1.2,5,0,39700,4
5,48,480,6,0,2008,1.6,6,1,18000,16
9,23,172000,2,0,2013,1.6,6,1,1234,11
7,10,65,7,0,2020,1.2,5,0,48700,4
13,31,127000,4,0,2013,1.1,6,0,42000,11
