Marque_voiture,Modele,Kilometrage,Couleur,TypeBoite,Annee,Cylindre,Puissance,Carburant,Prix
Renault,Capture,163000,Beige,Manuelle,2017,1.4L,5,Essence,47650
Skoda,Yeti,000000,Noir,Manuelle,1995,1.2L,000,Essence,4000
Autres,Autres,26.000,Blanc,Automatique,2022,1.5L,9,Essence,40000
Kia,Picanto,93000,Blanc,Manuelle,2019,1.2L,4,Essence,35000
Nissan,Qashqai,148000,Gris,Manuelle,2015,1.2L,06,Essence,58000
Volkswagen,Polo,320,Noir,Manuelle,1997,1.4L,5,Essence,12000
Citroen,C-Elysée,180000,Blanc,Manuelle,2014,1.2L,5,Essence,22000
Volkswagen,Jetta,190000,Blanc,Manuelle,2015,1.4L,7,Essence,45000
Renault,Symbol,240,Beige,Manuelle,2010,1.5L,5,Essence,25000
Volkswagen,Polo,78000,Blanc,Manuelle,2021,<1.0L,4,Essence,67000
Renault,Megane Cabriolet,144000,Orange,Manuelle,2012,1.4L,7,Essence,1234
BMW,Serie 3,55000,Bleu,Automatique,2013,2.0L,10,Essence,55000
Hyundai,I 20,3,Rouge,Manuelle,2022,1.2L,5,Essence,62000
Suzuki,Celerio,90000,Autre,Manuelle,2019,<1.0L,4,Essence,30800
Mercedes-Benz,Classe C,220000,Gris,Manuelle,2010,1.6L,9,Essence,45000
Peugeot,Partner,176000,Blanc,Manuelle,2018,1.6L,5,Diesel,45000
Toyota,Hilux,500000,Noir,Manuelle,2003,2.8L,11,Diesel,43000
C-Elysée,Essence,290000,Manuelle,Berline,Noir,2015,Avec kilométrage,5,16300
Peugeot,207 SW,275000,Gris,Manuelle,2011,1.4L,6,Essence,24500
8,Diesel,Noir,Nouveau,1990,Peugeot,405,Compacte,250000,15000
Renault,Capture,0,Marron,Manuelle,2014,1.2L,6,Essence,42000
Diesel,Automatique,Noir,2006,Classe C,9,Berline,2.0L,200000,39000
Megane,7,230000,Noir,2010,1.6L,Renault,Essence,Avec kilométrage,111111
Fiat,Fiorino,240,Bleu,Manuelle,2017,>4.0L,0,Diesel,18000
Autres,Autres,3000,Gris,Manuelle,2023,1.5L,6,Essence,54900
Volkswagen,Passat,155000,Noir,Manuelle,2019,1.4L,7,Essence,68500
Fiat,Punto,250000,Autre,Manuelle,2010,1.2L,5,Essence,22500
Peugeot,308,74000,Noir,Manuelle,2020,1.2L,06,Essence,49500
Mahindra,Hover,52000,Gris,Manuelle,2021,1.2L,05,Essence,35500
Citroen,DS3,90000,Blanc,Manuelle,2016,1.2L,05,Essence,39800
Renault,Clio,70000,Rouge,Manuelle,2020,1.2L,05,Essence,42500
Renault,Clio,78000,Noir,Manuelle,2020,1.2L,05,Essence,41500
Renault,Clio,80000,Blanc,Manuelle,2020,1.2L,05,Essence,43500
Kia,Picanto,60000,Noir,Automatique,2018,1.2L,05,Essence,43500
Skoda,Fabia,0000,Gris,Manuelle,2023,<1.0L,04,Essence,63800
Volkswagen,Vento,290,Noir,Manuelle,1996,2.0L,9,Essence,23000
Volkswagen,Polo,140000,Gris,Manuelle,2007,1.2L,4,Essence,22000
Seat,Ibiza,200000,Gris,Manuelle,2010,1.2L,5,Essence,23500
Renault,Capture,95,Gris,Manuelle,2019,<1.0L,5,Essence,1212
Peugeot,208,120,Blanc,Manuelle,2020,1.5L,5,Diesel,1212
Toyota,Avensis Verso,137000,Gris,Manuelle,2014,1.4L,6,Essence,29800
Toyota,Avensis,137000,Gris,Manuelle,2014,1.4L,6,Essence,29800
Classe C,Avec kilométrage,150000,Automatique,Berline,Noir,2014,1.8L,Essence,94761322
Renault,Megane,1111,Noir,Manuelle,2000,1.6L,6,Diesel,123
Renault,Clio,77000,Rouge,Manuelle,2020,1.2L,5,Essence,41000
Peugeot,207,167000,Blanc,Manuelle,2012,1.4L,5,Essence,27000
Citroen,C15,170000,Blanc,Manuelle,2006,1.9L,5,Diesel,10500
Peugeot,308 SW,80000,Blanc,Manuelle,2015,1.2L,5,Essence,41000
Toyota,Hilux,20,Noir,Manuelle,2010,2.5L,10,Diesel,600
Citroen,C3,82000,Blanc,Manuelle,2019,1.6L,4,Essence,42000
Seat,Leon,160000,Noir,Manuelle,2017,1.2L,5,Essence,57000
Volkswagen,Golf 8,260000,Gris,Manuelle,2010,1.6L,5,Diesel,35500
Peugeot,206,235000,Blanc,Manuelle,2012,1.2L,5,Essence,23000
Renault,Clio,145000,Blanc,Manuelle,2020,<1.0L,5,Essence,44500
Toyota,Aygo,0000,Rouge,Manuelle,2023,1.1L,5,Essence,47000
Volkswagen,Golf,150000,Noir,Manuelle,2017,1.2L,6,Essence,62500
Volkswagen,Golf,130000,Gris,Automatique,2020,<1.0L,6,Essence,68500
Peugeot,3008,140000,Noir,Automatique,2020,1.5L,6,Diesel,75500
Autres,Autres,200.000,Marron,Automatique,2019,1.5L,9,Essence,82000
Renault,Clio,20000,Gris,Manuelle,2021,1.2L,5,Essence,56500
Suzuki,Celerio,120,Noir,Manuelle,2017,1.2L,5,Essence,42000
Isuzu,D-MAX,338027,Blanc,Manuelle,2007,2.5L,10,Diesel,123
Renault,Clio,404000,Gris,Manuelle,2006,1.2L,5,Essence,23000
Renault,R19,400000,Bleu,Manuelle,1998,1.6L,6,Diesel,6500
Peugeot,508,140000,Beige,Manuelle,2016,1.6L,6,Essence,360000
Ford,Fiesta,265000,Noir,Manuelle,2008,1.2L,5,Essence,16500
Grand i10,5,43000,Gris,2021,1.2L,Hyundai,Essence,Autres,49000
Seat,Ibiza,32000,Gris,Manuelle,2021,<1.0L,4,Essence,48500
Ford,Fiesta,141000,Bleu,Manuelle,2017,<1.0L,5,Essence,36499
Citroen,C-Elysee,2580000,Gris,Manuelle,2013,1.6L,7,Essence,25500
Volkswagen,Golf 7,200,Gris,Manuelle,2015,1.2L,5,Essence,47800
Mazda,6,150000,Noir,Automatique,2016,2.0L,9,Essence,50000
Mahindra,Hover,44000,Gris,Manuelle,2020,1.2L,5,Essence,32500
Fiat,Panda,144000,Gris,Manuelle,2019,1.2L,4,Essence,30500
Fiat,Grande Punto,180000,Blanc,Manuelle,2012,>4.0L,4,Essence,9999999999
Citroen,C2,127000,Vert,Manuelle,2007,1.2L,5,Essence,19800
Citroen,C3,138000,Blanc,Manuelle,2017,1.2L,5,Essence,29900
Mazda,CX-5,250000,Blanc,Automatique,2014,2.0L,9,Essence,50000
Renault,Clio,74000,Gris,Manuelle,2020,1.2L,5,Essence,39700
Citroen,C5,480,Bleu,Manuelle,2008,1.6L,6,Diesel,18000
Polo,4,Vert,2074,1999,1.4L,Volkswagen,Monospace,Avec kilométrage,11800
Peugeot,208,172000,Blanc,Manuelle,2013,1.6L,6,Diesel,1234
Hyundai,I 20,65,Rouge,Manuelle,2020,1.2L,5,Essence,48700
Seat,Leon,127000,Noir,Manuelle,2013,1.1L,6,Essence,42000
Dacia,Dokker,59000,Blanc,Manuelle,2018,1.6L,6,Diesel,35000
Renault,Capture,148000,Beige,Automatique,2014,1.2L,6,Essence,42000
Peugeot,508,160000,Noir,Automatique,2014,1.6L,7,Essence,42000
Berline,Essence,68662,Bleu,Manuelle,2021,<1.0L,6,Golf,98000
Mitsubishi,L200,175000,Blanc,Manuelle,2014,2.5L,10,Diesel,32000
6,Essence,68662,Bleu,Manuelle,2021,<1.0L,Volkswagen,Berline,98000
BMW,Serie 1,257837,Gris,Manuelle,2005,1.2L,07,Essence,27500
Peugeot,508,194100,Noir,Manuelle,2011,1.6L,9,Essence,32000
Volkswagen,Golf,19000,Gris,Automatique,2021,<1.0L,5,Essence,115
Mercedes-Benz,Classe ML,204000,Blanc,Automatique,2008,3.2L,15,Diesel,75000
Mercedes-Benz,Classe GLC,116000,Noir,Automatique,2019,2.5L,12,Diesel,240
Fiat,Grande Punto,000,Rouge,Manuelle,1999,>4.0L,4,Essence,12500
Peugeot,107,167000,Rouge,Manuelle,2010,<1.0L,4,Essence,22800
Volkswagen,Polo,180000,Gris,Manuelle,2009,1.2L,4,Essence,22800
C5,6,309000,Noir,2009,1.6L,Citroen,Diesel,Autres,27500
Chery,QQ,62000,Bleu,Manuelle,2019,<1.0L,4,Essence,19000
Volkswagen,Tiguan,90000,Blanc,Manuelle,2017,1.5L,7,Essence,33800
Volkswagen,Golf,100000,Gris,Manuelle,2014,1.5L,5,Essence,55999
Hyundai,I 10,83008,Noir,Manuelle,2020,1.2L,5,Essence,34800
Hyundai,I 20,91000,Blanc,Manuelle,2020,1.2L,5,Essence,38500
Volkswagen,Polo,220,Violet,Manuelle,2007,<1.0L,4,Essence,21500
Renault,Clio,160000,Noir,Manuelle,2012,1.2L,5,Essence,29800
Citroen,C3,24000,Blanc,Manuelle,2020,1.2L,4,Essence,40000
Ssangyong,Rexton,190000,Gris,Manuelle,2001,2.2L,8,Diesel,25000
